,Company name,City,Region,Date of incorporation,Release date,"Fixed assets
th EUR
2019","Fixed assets
th EUR
2018","Fixed assets
th EUR
2017","Fixed assets
th EUR
2016","Fixed assets
th EUR
2015","Fixed assets
th EUR
2014","Fixed assets
th EUR
2013","Fixed assets
th EUR
2012","Fixed assets
th EUR
2011","Fixed assets
th EUR
2010","Number of employees
2019","Number of employees
2018","Number of employees
2017","Number of employees
2016","Number of employees
2015","Number of employees
2014","Number of employees
2013","Number of employees
2012","Number of employees
2011","Number of employees
2010","Costs of employees
th EUR
2019","Costs of employees
th EUR
2018","Costs of employees
th EUR
2017","Costs of employees
th EUR
2016","Costs of employees
th EUR
2015","Costs of employees
th EUR
2014","Costs of employees
th EUR
2013","Costs of employees
th EUR
2012","Costs of employees
th EUR
2011","Costs of employees
th EUR
2010","Material costs
th EUR
2019","Material costs
th EUR
2018","Material costs
th EUR
2017","Material costs
th EUR
2016","Material costs
th EUR
2015","Material costs
th EUR
2014","Material costs
th EUR
2013","Material costs
th EUR
2012","Material costs
th EUR
2011","Material costs
th EUR
2010","Sales
th EUR
2019","Sales
th EUR
2018","Sales
th EUR
2017","Sales
th EUR
2016","Sales
th EUR
2015","Sales
th EUR
2014","Sales
th EUR
2013","Sales
th EUR
2012","Sales
th EUR
2011","Sales
th EUR
2010"
4742.,SI COATINGS GMBH,WUPPERTAL,Wuppertal,23/08/2016,04/2020,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,18,16,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
4743.,SI UG (HAFTUNGSBESCHRéNKT),,"MÅnchen, Landeshauptstadt",27/02/2018,04/2020,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,1,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
4744.,SI US INSTRUMENTS GMBH,BERLIN,Berlin,13/06/2013,04/2020,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,19,19,19,15,10,4,1,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
4745.,SIBA-INDUSTRIES GMBH,PECHBRUNN,Tirschenreuth,05/08/2019,04/2020,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,8,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
4746.,SICC COATINGS GMBH,BERLIN,Berlin,05/03/2003,04/2020,n.a.,356,347,303,229,167,134,114,144,173,n.a.,15,15,11,9,9,7,9,11,11,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
4747.,SIDRA WASSERCHEMIE GMBH,IBBENBöREN,Steinfurt,02/09/1980,04/2020,n.a.,6454,3539,1770,1157,947,1111,1287,1550,1704,n.a.,53,32,29,29,29,n.a.,n.a.,n.a.,n.a.,n.a.,4109,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
4748.,SIEGWERK BöDINGEN GMBH,BöDINGEN,Wetteraukreis,03/04/1979,04/2020,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,84,84,84,88,98,75,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
4749.,SIEMA VERTRIEBSGESELLSCHAFT MBH,KôLN,Kîln,28/05/2018,04/2020,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,1,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
4750.,SIEPMANN + NEUFELD GMBH,RADEVORMWALD,Oberbergischer Kreis,01/01/1986,04/2020,n.a.,0,0,n.a.,0,0,0,0,3,6,n.a.,1,2,n.a.,4,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,44,46,36,32,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,758,736,929,835,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,1061,1035,1275,1148
4751.,SIGLA-FARBEN SZABADOS GMBH,DIETERSBURG,Rottal-Inn,16/02/2009,04/2020,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,1,1,1,n.a.,n.a.,1,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
4752.,SIGMA AIR SYSTECH GMBH,COBURG,Coburg,05/07/2018,04/2020,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,3,2,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
4753.,SIGMA DENTAL SYSTEMS-EMASDI GMBH,HANDEWITT,Schleswig-Flensburg,09/03/1981,04/2020,n.a.,962,762,538,356,276,199,202,212,280,n.a.,23,27,23,22,25,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
4754.,SIGMA ENGINEERING GMBH,AACHEN,StÑdteregion Aachen,11/11/1998,04/2020,172,106,78,75,52,34,51,63,110,107,2,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
4755.,SIKA AUTOMOTIVE HAMBURG GMBH,HAMBURG,"Hamburg, Freie und Hansestadt",20/12/1994,04/2020,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,11,1,1,1,1,150,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
4756.,SIL LACKFABRIK GMBH & CO. KG SPEZIALINDUSTRIELACKE,COPPENBRöGGE,Hameln-Pyrmont,28/07/1970,04/2020,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,39,39,39,21,21,21,20,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
4757.,SILARA MEDTECH GMBH,FRANKFURT,Hessen,28/05/2019,04/2020,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,1,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
4758.,SILAS UG (HAFTUNGSBESCHRéNKT),KREFELD,Krefeld,06/07/2016,04/2020,n.a.,n.a.,n.a.,0,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,1,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
4759.,SILBERAPRIKOSE VERTRIEB GMBH,STUTTGART,Stuttgart,02/03/2016,04/2020,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,1,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
4760.,SILCOMP - SILIKONCOMPOUNDING GMBH,LUTHERSTADT WITTENBERG,Wittenberg,23/11/2003,04/2020,n.a.,821,896,991,n.a.,716,420,502,1213,1308,n.a.,16,14,14,n.a.,15,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,795,914,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,3060,5436,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,4875,8070,n.a.,n.a.
4761.,SILCON CHEMIE GMBH,SEHNDE,Hannover,18/02/1982,04/2020,n.a.,99,n.a.,112,119,132,147,164,188,215,n.a.,11,n.a.,11,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
4762.,SILICON PERFORMANCE GMBH,PORTA WESTFALICA,Minden-LÅbbecke,26/02/2015,04/2020,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,2,2,2,2,2,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
4763.,SILPAT VERTRIEB FöR CHEM. PRODUKTE BUCHER + HéRTLE GMBH & CO. KG,VIERNHEIM,Bergstra·e,01/01/1984,04/2020,n.a.,544,516,389,380,349,329,411,466,495,n.a.,15,15,15,20,20,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
4764.,SILVANA INTERNATIONAL COSMETICS GMBH,RINTELN,Schaumburg,12/06/2018,04/2020,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,1,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
4765.,SIMA - CLEANTEC GMBH,VILLINGEN-SCHWENNINGEN,Schwarzwald-Baar,04/11/2013,04/2020,n.a.,23,3,n.a.,n.a.,0,n.a.,n.a.,n.a.,n.a.,n.a.,21,16,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
4766.,SINARMAS CEPSA DEUTSCHLAND GMBH,GENTHIN,Jerichower Land,22/04/2015,04/2020,n.a.,n.a.,9090,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,25,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
4767.,SINGER-KOSMETIK GMBH,MAUER,Rhein-Neckar,01/08/1967,04/2020,n.a.,209,81,92,60,21,9,2,4,9,n.a.,16,16,18,25,25,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,1500,n.a.
4768.,SINGLERON BIOTECHNOLOGIES UG (HAFTUNGSBESCHRéNKT),NEUSS,Neuss,13/09/2018,04/2020,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,1,1,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
4769.,SINGOLI-CHEMIE-GMBH,VILLINGEN-SCHWENNINGEN,Schwarzwald-Baar,16/06/1989,04/2020,n.a.,334,191,118,116,91,71,49,51,51,n.a.,80,72,77,62,48,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,11600,8000,7000,7000,6000,n.a.,n.a.,n.a.
4770.,SINIAC GMBH,WILLICH,Viersen,06/06/2012,04/2020,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,1,1,1,1,1,1,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
4771.,SINOXA PHARMA GMBH,BERLIN,Berlin,17/02/2010,04/2020,n.a.,n.a.,n.a.,247,n.a.,n.a.,n.a.,n.a.,49,n.a.,n.a.,n.a.,n.a.,1,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
4772.,SINTA GESELLSCHAFT FöR TIERGESUNDHEIT MBH,SCHWARZENBORN,Schwalm-Eder,11/10/1980,04/2020,n.a.,51,51,27,27,26,26,26,26,3,n.a.,10,10,8,7,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
4773.,SINUS BIOCHEMISTRY & ELECTROPHORESIS GMBH,HEIDELBERG,Heidelberg,06/07/1998,04/2020,n.a.,46,54,61,69,n.a.,77,85,90,83,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
4774.,SIO FARBEN GMBH,VIERNHEIM,Bergstra·e,03/11/2014,04/2020,n.a.,311,346,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,8,8,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,2000,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
4775.,SIPINTECH INTERNATIONAL GMBH,MAINZ,Mainz,03/06/2008,04/2020,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,1,1,1,1,1,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
4776.,SIR MEDIZINTECHNIK UG (HAFTUNGSBESCHRéNKT) VERTRIEB EBS PFLEGE UND THERAPIE,,Essen,22/09/2016,04/2020,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,1,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
4777.,SIRIUS GMBH KOSMETISCHE UND PHARMAZEUTISCHE PRODUKTE,MONHEIM,Mettmann,02/09/1996,04/2020,n.a.,198,281,393,334,234,368,441,357,264,n.a.,34,35,35,35,29,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,1374,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,392,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,2829,n.a.,n.a.,n.a.
4778.,SIS COMPANY GMBH,SCHôNEFELD,Dahme-Spreewald,01/12/2015,04/2020,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,1,1,1,1,1,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
4779.,SIS INK SOLUTION GMBH,BERG,Bayern,09/10/2017,04/2020,147,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,7,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
4780.,SISLEY DEUTSCHLAND VERTRIEBS GMBH,UNTERFôHRING,"MÅnchen, Landkreis",15/01/1981,04/2020,n.a.,n.a.,1288,1442,1490,682,502,436,205,158,n.a.,n.a.,104,112,112,128,120,n.a.,n.a.,n.a.,n.a.,n.a.,5918,6552,6389,6853,6708,5987,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
4781.,SISTERLOVE UG (HAFTUNGSBESCHRéNKT),LANGENHAGEN,Hannover,05/01/2018,04/2020,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,2,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
4782.,SITAS TECHNOLOGY LIMITED,STEINFELD,Main-Spessart,14/05/2005,04/2020,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,1,n.a.,n.a.,1,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
4783.,SITEC UG (HAFTUNGSBESCHRéNKT) C/O TECZA,BERLIN,Berlin,09/02/2015,04/2020,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,1,1,1,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
4784.,SI-TECH GMBH,MURG,Waldshut,31/10/2018,04/2020,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,2,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
4785.,SITOOLS BIOTECH GMBH,PLANEGG,"MÅnchen, Landkreis",18/09/2013,04/2020,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,6,n.a.,n.a.,8,n.a.,1,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
4786.,SIWAK GMBH,BERGHEIM,Rhein-Erft-Kreis,19/06/2015,04/2020,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,5,3,2,2,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
4787.,SIXTUS GMBH,BAD AIBLING,Miesbach,13/11/2012,04/2020,n.a.,n.a.,321,n.a.,197,212,210,n.a.,n.a.,n.a.,n.a.,n.a.,35,n.a.,40,53,1,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,1175,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,785,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,2574,n.a.,n.a.,n.a.
